forecast_horizon, my_seed, mean_mse, mean_rmse, mean_mae, mean_mre
1, 0, 6762.208189461034, 72.28494376778777, 28.45325143587113, 0.3546570189140073
2, 0, 8304.065237739254, 80.47373991538763, 31.377055777456903, 0.3754835747622905
3, 0, 9302.467457559347, 85.6409252379689, 34.04352159775204, 0.4004887872150154
1, 1, 6838.848880175201, 72.79606316672972, 28.98575364242594, 0.3208019816417097
2, 1, 8495.914614804706, 81.43362449775161, 31.935936399177823, 0.3419176009252534
3, 1, 9787.60698702175, 87.4616176225849, 34.74460744655923, 0.3710551401932556
1, 2, 6071.48783193237, 68.74951913943013, 26.821125748665374, 0.26875207352046915
2, 2, 7716.260175701329, 77.6367098546109, 29.481249560050777, 0.2847567604933306
3, 2, 8908.669447901682, 83.65042531294768, 32.10709389683144, 0.3108025718906884
1, 3, 6212.647765996366, 70.00488041112918, 27.706851608684417, 0.3064810584238097
2, 3, 8024.88935492874, 79.51129809848769, 30.82160615581168, 0.32879893133822535
3, 3, 9179.033713822226, 84.97017916595156, 33.554202799501525, 0.35699963904848114
1, 4, 6773.319550706451, 72.81696040322436, 29.358000968991988, 0.32476702223731035
2, 4, 8531.620896070144, 82.213911472415, 32.25731068808272, 0.3445611987668635
3, 4, 9970.796207755664, 89.06244570441979, 35.12641134048277, 0.37226677649723533
1, 5, 6526.411926976633, 70.36392458423246, 27.554736330253657, 0.2785981456488188
2, 5, 8256.947996870113, 79.71179991754892, 30.462787711691877, 0.2989175799486923
3, 5, 9536.044557740612, 85.91720244009974, 33.19397778835922, 0.32436982539279685
1, 6, 6238.708680308022, 69.996708084799, 27.847195868125883, 0.29327634213297366
2, 6, 7858.420071643465, 78.81483417829075, 30.617039013469448, 0.30939409594398565
3, 6, 9094.76277860871, 84.8623903712938, 33.32491087757309, 0.33420899266499016
1, 7, 6080.608557959765, 69.49400205282001, 28.32828695988784, 0.24665350435140262
2, 7, 7921.286983229668, 78.95277465713275, 31.372511839904096, 0.2653177065812727
3, 7, 9224.616282015297, 85.3942184755177, 34.201059465050996, 0.28769133783876294
1, 8, 6409.8553881463595, 69.96679215902297, 28.636283941061475, 0.3035554520368094
2, 8, 8238.563403982953, 79.96291550431086, 31.855436577891673, 0.33393722097306017
3, 8, 9518.839138088184, 86.1029068697558, 34.66474680347141, 0.3721641477673282
1, 9, 6447.502265344014, 70.73930311286479, 28.307584662492076, 0.323633423318424
2, 9, 8006.004224327018, 79.20982013495548, 31.263573395321448, 0.3487020313764612
3, 9, 9173.955065338088, 85.04159834348647, 34.06431840616896, 0.37618976877428295
forecast_horizon, my_seed, mean_mse, mean_rmse, mean_mae, mean_mre
1, 0, 18621.9628561631, 127.6003100793419, 74.52630906365147, 1.5837424393946595
2, 0, 19226.89011529147, 129.60119408956842, 75.30720828334323, 1.5891696566773117
3, 0, 19678.19985810983, 131.10135802015373, 76.03883955103255, 1.5917074270511749
forecast_horizon, my_seed, mean_mse, mean_rmse, mean_mae, mean_mre
1, 1, 6332.267481643693, 70.04804444209417, 26.838660780023986, 0.305525696801628
2, 1, 7866.5876063006435, 78.35954170810642, 29.570311480720203, 0.32563581040500383
3, 1, 9062.599062057185, 84.15998079693259, 32.170932820888126, 0.35338584780310023
